day,station,week,period,in,out
30,pddd,1,46,3002,2577
30,pddd,4,33,869,2156
30,pddd,6,28,491,3300
30,pddd,7,67,3190,280
30,pddd,1,46,1765,1353
30,pddd,3,66,2555,351
30,pddd,2,39,1473,1824
30,pddd,3,60,2485,847
30,pddd,3,68,922,243
30,pddd,5,65,4004,522
30,pddd,3,61,2844,613
30,pddd,6,22,251,1266
30,pddd,6,39,1861,3633
30,pddd,4,64,3249,366
30,pddd,2,67,3498,291
30,pddd,4,44,1991,1660
30,pddd,1,65,2192,308
30,pddd,4,31,755,2337
30,pddd,5,58,3690,2814
30,pddd,1,35,966,1594
30,pddd,4,39,1446,1882
30,pddd,6,69,607,200
30,pddd,6,70,24,222
30,pddd,3,56,6139,2999
30,pddd,6,68,1359,279
30,pddd,2,34,918,1828
30,pddd,7,16,65,3
30,pddd,6,33,776,3499
30,pddd,6,30,667,3305
30,pddd,4,64,3173,413
30,pddd,4,29,686,4719
30,pddd,7,21,222,589
30,pddd,7,67,3612,344
30,pddd,7,22,229,754
30,pddd,3,47,2139,1505
30,pddd,7,25,342,800
30,pddd,1,68,845,261
30,pddd,7,27,369,2298
30,pddd,2,58,3542,1520
30,pddd,3,40,1573,1788
30,pddd,5,54,7007,3336
30,pddd,5,17,49,16
30,pddd,3,31,862,2538
30,pddd,1,61,2529,554
30,pddd,5,23,469,2062
30,pddd,7,35,752,3354
30,pddd,2,69,272,167
30,pddd,6,31,752,3048
30,pddd,7,38,1165,3046
30,pddd,2,43,1632,1635
30,pddd,5,15,3,0
30,pddd,7,41,1833,3770
30,pddd,7,42,1816,3825
30,pddd,3,55,7304,2916
30,pddd,4,71,1,66
30,pddd,7,47,3621,2764
30,pddd,3,55,7507,2672
30,pddd,2,31,781,2482
30,pddd,6,43,2721,3533
30,pddd,6,35,1133,3622
30,pddd,2,64,3446,390
30,pddd,3,49,2271,1391
30,pddd,4,39,1544,1721
30,pddd,7,46,3465,2848
30,pddd,7,54,3256,1839
30,pddd,6,63,3786,655
30,pddd,7,37,1629,2873
30,pddd,4,67,3763,302
30,pddd,7,58,3071,1227
30,pddd,7,59,2932,988
30,pddd,6,69,736,241
30,pddd,6,47,3799,3080
30,pddd,4,52,4614,2453
30,pddd,1,16,16,4
30,pddd,1,60,2371,828
30,pddd,6,41,2381,3543
30,pddd,5,47,2551,1799
30,pddd,6,32,805,3317
30,pddd,3,25,819,6176
30,pddd,5,71,2,90
30,pddd,7,70,21,332
30,pddd,7,71,0,82
30,pddd,1,35,748,2756
30,pddd,1,63,2351,406
30,pddd,4,49,3158,2029
30,pddd,7,56,3607,1994
30,pddd,2,25,705,5977
30,pddd,3,64,3692,458
30,pddd,6,44,2863,3707
30,pddd,3,68,963,292
30,pddd,1,56,6592,2186
30,pddd,2,48,1839,1115
30,pddd,5,36,1364,1914
30,pddd,5,69,855,303
30,pddd,3,27,714,11543
30,pddd,4,55,7050,2722
30,pddd,1,28,307,2030
30,pddd,5,40,1889,2062
30,pddd,3,60,2679,905
30,pddd,1,62,2435,535
30,pddd,1,32,480,2022
30,pddd,4,26,738,8945
30,pddd,1,34,614,2569
30,pddd,4,47,1895,1425
30,pddd,1,57,4643,2178
30,pddd,1,24,622,3028
30,pddd,7,32,488,2624
30,pddd,3,25,787,6122
30,pddd,7,57,2736,1377
30,pddd,3,56,6549,2913
30,pddd,1,42,1740,3090
30,pddd,3,34,949,1870
30,pddd,6,21,239,937
30,pddd,2,40,1647,1778
30,pddd,3,65,2947,401
30,pddd,1,47,2745,2155
30,pddd,6,50,4132,2828
30,pddd,6,72,0,31
30,pddd,6,39,1886,3697
30,pddd,3,50,2587,1477
30,pddd,4,53,5025,2142
30,pddd,7,34,992,3148
30,pddd,7,45,2848,3293
30,pddd,4,65,3133,387
30,pddd,5,25,740,6154
30,pddd,4,58,3441,1539
30,pddd,4,17,55,13
30,pddd,5,71,0,67
30,pddd,3,23,468,1980
30,pddd,6,41,1910,3804
30,pddd,4,55,6927,4046
30,pddd,3,24,591,3208
30,pddd,1,64,1937,327
30,pddd,1,65,1569,270
30,pddd,4,27,734,11390
30,pddd,1,67,3008,231
30,pddd,1,68,606,269
30,pddd,7,62,2599,607
30,pddd,1,70,35,469
30,pddd,2,53,4858,1647
30,pddd,4,37,1451,1876
30,pddd,5,19,131,1233
30,pddd,5,72,0,79
30,pddd,2,17,43,11
30,pddd,2,18,110,51
30,pddd,2,19,168,684
30,pddd,5,45,2414,1825
30,pddd,1,15,2,1
30,pddd,2,44,1771,1649
30,pddd,1,18,86,47
30,pddd,4,62,2923,568
30,pddd,6,65,4286,471
30,pddd,7,50,3574,2275
30,pddd,5,18,87,94
30,pddd,3,27,790,11036
30,pddd,3,15,4,0
30,pddd,3,39,1393,1708
30,pddd,6,19,166,1066
30,pddd,5,63,3492,669
30,pddd,4,34,975,1933
30,pddd,3,17,54,18
30,pddd,7,36,1210,3342
30,pddd,7,58,3057,1182
30,pddd,4,35,1066,1778
30,pddd,2,38,1146,1486
30,pddd,3,37,1222,1615
30,pddd,6,23,316,1365
30,pddd,7,29,443,2507
30,pddd,2,62,2908,515
30,pddd,2,43,1466,1407
30,pddd,4,34,931,1736
30,pddd,3,29,750,5036
30,pddd,5,65,4362,567
30,pddd,1,57,2212,1193
30,pddd,6,42,2386,4045
30,pddd,4,25,747,5977
30,pddd,6,67,4815,361
30,pddd,2,27,724,11876
30,pddd,2,21,289,883
30,pddd,2,15,5,0
30,pddd,2,54,7243,1774
30,pddd,4,69,487,209
30,pddd,6,38,1701,3526
30,pddd,4,18,99,29
30,pddd,6,42,2466,3921
30,pddd,4,29,645,5049
30,pddd,6,51,4192,3212
30,pddd,2,61,2399,451
30,pddd,6,25,410,1317
30,pddd,3,56,6331,2972
30,pddd,3,69,493,213
30,pddd,1,62,2543,535
30,pddd,4,21,306,873
30,pddd,7,66,2559,344
30,pddd,6,20,178,1697
30,pddd,7,47,3686,2727
30,pddd,4,41,1670,1864
30,pddd,5,70,96,364
30,pddd,4,67,4255,311
30,pddd,3,41,1688,1772
30,pddd,7,72,0,107
30,pddd,3,58,3580,1511
30,pddd,1,70,39,195
30,pddd,3,19,129,412
30,pddd,7,50,4109,2415
30,pddd,3,38,1422,1592
30,pddd,3,22,419,1379
30,pddd,6,41,2341,3850
30,pddd,6,40,2213,3619
30,pddd,1,37,1149,1414
30,pddd,6,28,609,3309
30,pddd,1,26,287,1506
30,pddd,5,48,2483,1853
30,pddd,1,33,785,1859
30,pddd,3,50,2735,1437
30,pddd,4,70,42,216
30,pddd,2,30,793,3617
30,pddd,6,48,3240,2762
30,pddd,1,31,416,1845
30,pddd,2,46,1865,1386
30,pddd,2,72,0,56
30,pddd,5,62,3448,779
30,pddd,7,42,2184,4282
30,pddd,4,46,2000,1553
30,pddd,2,68,1016,285
30,pddd,3,29,743,5192
30,pddd,3,56,6289,2922
30,pddd,5,64,4611,569
30,pddd,5,19,149,1583
30,pddd,3,45,1943,1521
30,pddd,3,46,2173,1461
30,pddd,6,15,6,1
30,pddd,3,66,2565,335
30,pddd,6,31,670,2723
30,pddd,5,62,3295,833
30,pddd,4,42,1783,1858
30,pddd,2,68,986,273
30,pddd,5,15,3,0
30,pddd,7,16,11,3
30,pddd,4,56,6346,2782
30,pddd,4,43,1822,1723
30,pddd,1,43,1655,1607
30,pddd,7,23,271,939
30,pddd,5,42,2020,2015
30,pddd,5,52,4304,2496
30,pddd,7,29,537,3007
30,pddd,3,25,780,5940
30,pddd,2,67,3618,285
30,pddd,2,52,4305,1748
30,pddd,3,65,2611,406
30,pddd,3,49,2506,1423
