day,station,week,period,in,out
30,rmgc,6,38,1441,3260
30,rmgc,6,39,1564,3640
30,rmgc,6,40,1737,3488
30,rmgc,6,41,1910,3804
30,rmgc,6,42,2198,3764
30,rmgc,6,43,2292,3620
30,rmgc,6,44,2700,3692
30,rmgc,6,45,2887,3370
30,rmgc,6,46,2826,3194
30,rmgc,6,47,3037,2976
30,rmgc,6,48,3240,2762
30,rmgc,6,49,3529,2524
30,rmgc,6,50,3706,2478
30,rmgc,6,51,3686,2475
30,rmgc,6,52,3858,2440
30,rmgc,6,53,3436,2387
30,rmgc,6,54,3434,2269
30,rmgc,6,55,3690,2057
30,rmgc,6,56,3003,1905
30,rmgc,6,57,2498,1750
30,rmgc,6,58,2762,1435
30,rmgc,6,59,2743,1082
30,rmgc,6,60,2708,960
30,rmgc,6,61,3029,773
30,rmgc,6,62,2952,659
30,rmgc,6,63,2999,596
30,rmgc,6,64,3617,469
30,rmgc,6,65,3201,395
30,rmgc,6,66,2707,293
30,rmgc,6,67,3819,321
30,rmgc,6,68,1359,279
30,rmgc,6,69,607,200
30,rmgc,6,70,24,222
30,rmgc,6,71,0,47
30,rmgc,6,72,0,31
30,rmgc,7,15,7,1
30,rmgc,7,16,65,3
30,rmgc,7,17,149,5
30,rmgc,7,18,197,30
30,rmgc,7,19,254,423
30,rmgc,7,20,240,603
30,rmgc,7,21,222,589
30,rmgc,7,22,314,558
30,rmgc,7,23,303,649
30,rmgc,7,24,303,596
30,rmgc,7,25,342,800
30,rmgc,7,26,395,1314
30,rmgc,7,27,369,2298
30,rmgc,7,28,391,2023
30,rmgc,7,29,487,1849
30,rmgc,7,30,414,2102
30,rmgc,7,31,427,2218
30,rmgc,7,32,488,2624
30,rmgc,7,33,571,2948
30,rmgc,7,34,595,3293
30,rmgc,7,35,752,3354
30,rmgc,7,36,882,3257
30,rmgc,7,37,983,3119
30,rmgc,7,38,1165,3046
30,rmgc,7,39,1166,3293
30,rmgc,7,40,1474,3415
30,rmgc,7,41,1833,3770
30,rmgc,7,42,1816,3825
30,rmgc,7,43,2241,3764
30,rmgc,7,44,2425,3532
30,rmgc,7,45,2521,3337
30,rmgc,7,46,2783,2914
30,rmgc,7,47,2751,2754
30,rmgc,7,48,3112,2495
30,rmgc,7,49,3581,2268
30,rmgc,7,50,3574,2275
30,rmgc,7,51,3514,2165
30,rmgc,7,52,4006,2035
30,rmgc,7,53,3528,1946
30,rmgc,7,54,3256,1839
30,rmgc,7,55,3054,1660
30,rmgc,7,56,2878,1423
30,rmgc,7,57,2736,1377
30,rmgc,7,58,3071,1227
30,rmgc,7,59,2932,988
30,rmgc,7,60,2926,788
30,rmgc,7,61,2935,682
30,rmgc,7,62,2599,607
30,rmgc,7,63,2661,450
30,rmgc,7,64,2827,385
30,rmgc,7,65,2340,299
30,rmgc,7,66,2228,270
30,rmgc,7,67,3505,301
30,rmgc,7,68,934,245
30,rmgc,7,69,414,181
30,rmgc,7,70,21,332
30,rmgc,7,71,0,82
30,rmgc,7,72,0,30
30,rmgc,1,15,1,0
30,rmgc,1,16,16,1
30,rmgc,1,17,47,12
30,rmgc,1,18,69,18
30,rmgc,1,19,120,283
30,rmgc,1,20,101,366
30,rmgc,1,21,118,374
30,rmgc,1,22,202,405
30,rmgc,1,23,171,578
30,rmgc,1,24,198,739
30,rmgc,1,25,282,981
30,rmgc,1,26,287,1506
30,rmgc,1,27,280,2364
30,rmgc,1,28,307,2030
30,rmgc,1,29,319,1713
30,rmgc,1,30,364,1926
30,rmgc,1,31,416,1845
30,rmgc,1,32,480,2022
30,rmgc,1,33,533,2426
30,rmgc,1,34,614,2569
30,rmgc,1,35,748,2756
30,rmgc,1,36,788,2491
30,rmgc,1,37,950,2547
30,rmgc,1,38,1101,2451
30,rmgc,1,39,1141,2611
30,rmgc,1,40,1377,2738
30,rmgc,1,41,1619,2905
30,rmgc,1,42,1740,3090
30,rmgc,1,43,2028,3056
30,rmgc,1,44,2336,2798
30,rmgc,1,45,2457,2571
30,rmgc,1,46,3002,2577
30,rmgc,1,47,2745,2155
30,rmgc,1,48,3040,2096
30,rmgc,1,49,2965,1736
30,rmgc,1,50,2924,1774
30,rmgc,1,51,3030,1813
30,rmgc,1,52,3017,1797
30,rmgc,1,53,2909,1703
30,rmgc,1,54,2579,1461
30,rmgc,1,55,2427,1392
30,rmgc,1,56,2354,1595
30,rmgc,1,57,2212,1193
30,rmgc,1,58,1844,840
30,rmgc,1,59,2291,831
30,rmgc,1,60,2162,681
30,rmgc,1,61,2346,530
30,rmgc,1,62,2089,528
30,rmgc,1,63,1996,382
30,rmgc,1,64,1937,327
30,rmgc,1,65,1569,270
30,rmgc,1,66,1483,303
30,rmgc,1,67,3008,231
30,rmgc,1,68,606,269
30,rmgc,1,69,264,252
30,rmgc,1,70,35,469
30,rmgc,1,71,3,394
30,rmgc,1,72,0,0
30,rmgc,2,15,1,0
30,rmgc,2,16,7,3
30,rmgc,2,17,43,11
30,rmgc,2,18,110,51
30,rmgc,2,19,168,684
30,rmgc,2,20,205,781
30,rmgc,2,21,330,1000
30,rmgc,2,22,398,1451
30,rmgc,2,23,481,2152
30,rmgc,2,24,581,3288
30,rmgc,2,25,792,6101
30,rmgc,2,26,734,8558
30,rmgc,2,27,716,11553
30,rmgc,2,28,716,8018
30,rmgc,2,29,618,4694
30,rmgc,2,30,583,3169
30,rmgc,2,31,688,2003
30,rmgc,2,32,681,1805
30,rmgc,2,33,748,1679
30,rmgc,2,34,790,1480
30,rmgc,2,35,938,1620
30,rmgc,2,36,1000,1564
30,rmgc,2,37,1039,1414
30,rmgc,2,38,1146,1486
30,rmgc,2,39,1229,1576
30,rmgc,2,40,1404,1556
30,rmgc,2,41,1399,1622
30,rmgc,2,42,1432,1474
30,rmgc,2,43,1466,1407
30,rmgc,2,44,1536,1253
30,rmgc,2,45,1530,1236
30,rmgc,2,46,1686,1054
30,rmgc,2,47,1680,1196
30,rmgc,2,48,1839,1115
30,rmgc,2,49,2046,1022
30,rmgc,2,50,2127,1120
30,rmgc,2,51,2413,1129
30,rmgc,2,52,4243,1324
